,Model,Publication Year,Research Areas
9475,AlexNet,2019,Computer Science
9476,AlexNet,2018,Automation & Control Systems
9477,AlexNet,2016,Engineering
9478,AlexNet,2014,Automation & Control Systems
9479,AlexNet,2014,Computer Science
9480,AlexNet,2014,Engineering
9481,AlexNet,2021,Materials Science
9482,AlexNet,2017,Computer Science
9483,AlexNet,2017,Engineering
9484,AlexNet,2021,Telecommunications
9485,AlexNet,2020,Computer Science
9486,AlexNet,2020,Engineering
9487,AlexNet,2019,Computer Science
9488,AlexNet,2019,Engineering
9489,AlexNet,2019,Telecommunications
9490,AlexNet,2021,Computer Science
9491,AlexNet,2017,Computer Science
9492,AlexNet,2020,Acoustics
9493,AlexNet,2020,Engineering
9494,AlexNet,2020,Computer Science
9495,AlexNet,2020,Engineering
9496,AlexNet,2020,Telecommunications
9497,AlexNet,2021,Computer Science
9498,AlexNet,2021,Engineering
9499,AlexNet,2022,Computer Science
9500,AlexNet,2021,Computer Science
9501,AlexNet,2019,Computer Science
9502,AlexNet,2018,Engineering
9503,AlexNet,2018,Optics
9504,AlexNet,2021,Chemistry
9505,AlexNet,2021,Engineering
9506,AlexNet,2021,Materials Science
9507,AlexNet,2021,Physics
9508,AlexNet,2020,Engineering
9509,AlexNet,2021,Engineering
9510,AlexNet,2021,Others
9511,AlexNet,2019,Computer Science
9512,AlexNet,2019,Engineering
9513,AlexNet,2019,Medical Informatics
9514,AlexNet,2021,Computer Science
9515,AlexNet,2019,Computer Science
9516,AlexNet,2019,Computer Science
9517,AlexNet,2019,Engineering
9518,AlexNet,2018,Computer Science
9519,AlexNet,2018,Computer Science
9520,AlexNet,2018,Computer Science
9521,AlexNet,2020,Computer Science
9522,AlexNet,2020,Engineering
9523,AlexNet,2020,Mathematical & Computational Biology
9524,AlexNet,2020,Operations Research & Management Science
9525,AlexNet,2020,Chemistry
9526,AlexNet,2020,Engineering
9527,AlexNet,2020,Instruments & Instrumentation
9528,AlexNet,2020,Science & Technology - Other Topics
9529,AlexNet,2020,Engineering
9530,AlexNet,2018,Computer Science
9531,AlexNet,2018,Engineering
9532,AlexNet,2022,Computer Science
9533,AlexNet,2020,Computer Science
9534,AlexNet,2020,Engineering
9535,AlexNet,2019,Computer Science
9536,AlexNet,2019,Computer Science
9537,AlexNet,2019,Science & Technology - Other Topics
9538,AlexNet,2019,Telecommunications
9539,AlexNet,2021,Health Care Sciences & Services
9540,AlexNet,2021,Computer Science
9541,AlexNet,2020,Materials Science
9542,AlexNet,2020,Computer Science
9543,AlexNet,2017,Computer Science
9544,AlexNet,2017,Engineering
9545,AlexNet,2017,Imaging Science & Photographic Technology
9546,AlexNet,2022,Imaging Science & Photographic Technology
9547,AlexNet,2020,Computer Science
9548,AlexNet,2020,Engineering
9549,AlexNet,2020,Computer Science
9550,AlexNet,2020,Telecommunications
9551,AlexNet,2020,Engineering
9552,AlexNet,2018,Chemistry
9553,AlexNet,2018,Engineering
9554,AlexNet,2018,Materials Science
9555,AlexNet,2018,Physics
9556,AlexNet,2020,Engineering
9557,AlexNet,2018,Optics
9558,AlexNet,2017,Acoustics
9559,AlexNet,2017,Computer Science
9560,AlexNet,2017,Engineering
9561,AlexNet,2017,Telecommunications
9562,AlexNet,2016,Computer Science
9563,AlexNet,2018,Automation & Control Systems
9564,AlexNet,2018,Computer Science
9565,AlexNet,2018,Engineering
9566,AlexNet,2019,Automation & Control Systems
9567,AlexNet,2019,Computer Science
9568,AlexNet,2020,Engineering
9569,AlexNet,2020,Physics
9570,AlexNet,2020,Computer Science
9571,AlexNet,2020,Geology
9572,AlexNet,2018,Computer Science
9573,AlexNet,2018,Mathematical & Computational Biology
9574,AlexNet,2018,Computer Science
9575,AlexNet,2018,Engineering
9576,AlexNet,2021,Computer Science
9577,AlexNet,2021,Engineering
9578,AlexNet,2019,Optics
9579,AlexNet,2019,Imaging Science & Photographic Technology
9580,AlexNet,2019,Computer Science
9581,AlexNet,2019,Engineering
9582,AlexNet,2019,Telecommunications
9583,AlexNet,2019,Computer Science
9584,AlexNet,2019,Engineering
9585,AlexNet,2020,Computer Science
9586,AlexNet,2020,Engineering
9587,AlexNet,2021,Agriculture
9588,AlexNet,2020,Chemistry
9589,AlexNet,2020,Engineering
9590,AlexNet,2020,Instruments & Instrumentation
9591,AlexNet,2020,Automation & Control Systems
9592,AlexNet,2020,Computer Science
9593,AlexNet,2021,Computer Science
9594,AlexNet,2021,Education & Educational Research
9595,AlexNet,2017,Engineering
9596,AlexNet,2017,Telecommunications
9597,AlexNet,2021,Computer Science
9598,AlexNet,2021,Imaging Science & Photographic Technology
9599,AlexNet,2017,Computer Science
9600,AlexNet,2020,Computer Science
9601,AlexNet,2018,Computer Science
9602,AlexNet,2018,Computer Science
9603,AlexNet,2018,Imaging Science & Photographic Technology
9604,AlexNet,2020,Computer Science
9605,AlexNet,2020,Engineering
9606,AlexNet,2022,Computer Science
9607,AlexNet,2022,Engineering
9608,AlexNet,2020,Computer Science
9609,AlexNet,2020,Engineering
9610,AlexNet,2020,Telecommunications
9611,AlexNet,2019,Computer Science
9612,AlexNet,2019,Engineering
9613,AlexNet,2018,Engineering
9614,AlexNet,2021,Engineering
9615,AlexNet,2021,"Radiology, Nuclear Medicine & Medical Imaging"
9616,AlexNet,2021,Computer Science
9617,AlexNet,2021,Engineering
9618,AlexNet,2021,Telecommunications
9619,AlexNet,2019,Engineering
9620,AlexNet,2019,Physics
9621,AlexNet,2022,Computer Science
9622,AlexNet,2021,Health Care Sciences & Services
9623,AlexNet,2020,Computer Science
9624,AlexNet,2019,Computer Science
9625,AlexNet,2019,Engineering
9626,AlexNet,2019,Others
9627,AlexNet,2019,Computer Science
9628,AlexNet,2019,Engineering
9629,AlexNet,2019,Imaging Science & Photographic Technology
9630,AlexNet,2018,Computer Science
9631,AlexNet,2018,Telecommunications
9632,AlexNet,2022,Computer Science
9633,AlexNet,2020,Computer Science
9634,AlexNet,2020,Engineering
9635,AlexNet,2019,Computer Science
9636,AlexNet,2017,Automation & Control Systems
9637,AlexNet,2017,Computer Science
9638,AlexNet,2017,Engineering
9639,AlexNet,2019,Imaging Science & Photographic Technology
9640,AlexNet,2016,Engineering
9641,AlexNet,2016,Telecommunications
9642,AlexNet,2021,Computer Science
9643,AlexNet,2020,Computer Science
9644,AlexNet,2020,Engineering
9645,AlexNet,2020,Telecommunications
9646,AlexNet,2018,Computer Science
9647,AlexNet,2018,Engineering
9648,AlexNet,2018,Robotics
9649,AlexNet,2016,Computer Science
9650,AlexNet,2016,Engineering
9651,AlexNet,2020,Computer Science
9652,AlexNet,2020,Engineering
9653,AlexNet,2020,Telecommunications
9654,AlexNet,2018,Computer Science
9655,AlexNet,2018,Imaging Science & Photographic Technology
9656,AlexNet,2021,Life Sciences & Biomedicine - Other Topics
9657,AlexNet,2021,Computer Science
9658,AlexNet,2021,Engineering
9659,AlexNet,2021,Mathematical & Computational Biology
9660,AlexNet,2018,Computer Science
9661,AlexNet,2021,Computer Science
9662,AlexNet,2016,Computer Science
9663,AlexNet,2016,Imaging Science & Photographic Technology
9664,AlexNet,2022,Engineering
9665,AlexNet,2022,Optics
9666,AlexNet,2022,Imaging Science & Photographic Technology
9667,AlexNet,2022,Mathematical & Computational Biology
9668,AlexNet,2022,Neurosciences & Neurology
9669,AlexNet,2017,Computer Science
9670,AlexNet,2018,Computer Science
9671,AlexNet,2017,Computer Science
9672,AlexNet,2017,Engineering
9673,AlexNet,2021,Mathematics
9674,AlexNet,2021,Science & Technology - Other Topics
9675,AlexNet,2017,Acoustics
9676,AlexNet,2017,Engineering
9677,AlexNet,2020,Computer Science
9678,AlexNet,2020,Optics
9679,AlexNet,2020,Imaging Science & Photographic Technology
9680,AlexNet,2022,Computer Science
9681,AlexNet,2019,Computer Science
9682,AlexNet,2019,Engineering
9683,AlexNet,2019,Computer Science
9684,AlexNet,2019,Computer Science
9685,AlexNet,2019,Engineering
9686,AlexNet,2018,Mathematical & Computational Biology
9687,AlexNet,2022,Optics
9688,AlexNet,2022,Physics
9689,AlexNet,2022,"Radiology, Nuclear Medicine & Medical Imaging"
9690,AlexNet,2019,Imaging Science & Photographic Technology
9691,AlexNet,2018,Computer Science
9692,AlexNet,2018,Imaging Science & Photographic Technology
9693,AlexNet,2018,Computer Science
9694,AlexNet,2018,Robotics
9695,AlexNet,2019,Computer Science
9696,AlexNet,2019,Engineering
9697,AlexNet,2016,Physical Geography
9698,AlexNet,2016,Remote Sensing
9699,AlexNet,2016,Imaging Science & Photographic Technology
9700,AlexNet,2022,Computer Science
9701,AlexNet,2019,Biochemistry & Molecular Biology
9702,AlexNet,2019,Mathematical & Computational Biology
9703,AlexNet,2019,Automation & Control Systems
9704,AlexNet,2019,Computer Science
9705,AlexNet,2019,Engineering
9706,AlexNet,2019,Operations Research & Management Science
9707,AlexNet,2019,Mathematics
9708,AlexNet,2018,Engineering
9709,AlexNet,2018,Others
9710,AlexNet,2019,Computer Science
9711,AlexNet,2017,Computer Science
9712,AlexNet,2017,Engineering
9713,AlexNet,2017,Mathematics
9714,AlexNet,2022,Chemistry
9715,AlexNet,2022,Engineering
9716,AlexNet,2022,Materials Science
9717,AlexNet,2022,Physics
9718,AlexNet,2016,Computer Science
9719,AlexNet,2016,Engineering
9720,AlexNet,2016,Imaging Science & Photographic Technology
9721,AlexNet,2019,Computer Science
9722,AlexNet,2019,Engineering
9723,AlexNet,2019,Computer Science
9724,AlexNet,2019,Engineering
9725,AlexNet,2020,Computer Science
9726,AlexNet,2020,Engineering
9727,AlexNet,2020,Optics
9728,AlexNet,2020,Imaging Science & Photographic Technology
9729,AlexNet,2019,Computer Science
9730,AlexNet,2019,Imaging Science & Photographic Technology
9731,AlexNet,2019,Optics
9732,AlexNet,2018,Computer Science
9733,AlexNet,2018,Engineering
9734,AlexNet,2021,Computer Science
9735,AlexNet,2021,Engineering
9736,AlexNet,2021,Optics
9737,AlexNet,2021,Imaging Science & Photographic Technology
9738,AlexNet,2020,Computer Science
9739,AlexNet,2020,Engineering
9740,AlexNet,2020,Telecommunications
9741,AlexNet,2019,Engineering
9742,AlexNet,2019,Optics
9743,AlexNet,2018,Computer Science
9744,AlexNet,2016,Computer Science
9745,AlexNet,2022,Chemistry
9746,AlexNet,2022,Engineering
9747,AlexNet,2022,Instruments & Instrumentation
9748,AlexNet,2020,Computer Science
9749,AlexNet,2017,Computer Science
9750,AlexNet,2020,Computer Science
9751,AlexNet,2020,Engineering
9752,AlexNet,2020,Mathematical & Computational Biology
9753,AlexNet,2020,Neurosciences & Neurology
9754,AlexNet,2018,Computer Science
9755,AlexNet,2021,Robotics
9756,AlexNet,2020,Imaging Science & Photographic Technology
9757,AlexNet,2020,Engineering
9758,AlexNet,2020,Telecommunications
9759,AlexNet,2019,Computer Science
9760,AlexNet,2019,Engineering
9761,AlexNet,2022,Instruments & Instrumentation
9762,AlexNet,2019,Geology
9763,AlexNet,2019,Remote Sensing
9764,AlexNet,2019,Energy & Fuels
9765,AlexNet,2019,Engineering
9766,AlexNet,Before 2000,Materials Science
9767,AlexNet,2021,Computer Science
9768,AlexNet,2021,Engineering
9769,AlexNet,2020,Computer Science
9770,AlexNet,2020,Engineering
9771,AlexNet,2020,Telecommunications
9772,AlexNet,2019,Automation & Control Systems
9773,AlexNet,2019,Computer Science
9774,AlexNet,2019,Engineering
9775,AlexNet,2018,Acoustics
9776,AlexNet,2018,Engineering
9777,AlexNet,2017,Computer Science
9778,AlexNet,2022,Engineering
9779,AlexNet,2022,Operations Research & Management Science
9780,AlexNet,2021,Computer Science
9781,AlexNet,2021,Medical Informatics
9782,AlexNet,2019,Computer Science
9783,AlexNet,2022,Computer Science
9784,AlexNet,2022,Engineering
9785,AlexNet,2020,Computer Science
9786,AlexNet,2019,Computer Science
9787,AlexNet,2019,Engineering
9788,AlexNet,2019,Computer Science
9789,AlexNet,2018,Computer Science
9790,AlexNet,2018,Imaging Science & Photographic Technology
9791,AlexNet,2018,Engineering
9792,AlexNet,2018,Computer Science
9793,AlexNet,2018,Engineering
9794,AlexNet,2021,Computer Science
9795,AlexNet,2021,Engineering
9796,AlexNet,2021,Computer Science
9797,AlexNet,2021,Imaging Science & Photographic Technology
9798,AlexNet,2020,Computer Science
9799,AlexNet,2018,Engineering
9800,AlexNet,2018,Optics
9801,AlexNet,2019,Others
9802,AlexNet,2020,Engineering
9803,AlexNet,2020,Optics
9804,AlexNet,2020,Imaging Science & Photographic Technology
9805,AlexNet,2019,Optics
9806,AlexNet,2018,Mathematical & Computational Biology
9807,AlexNet,2021,Computer Science
9808,AlexNet,2019,Optics
9809,AlexNet,2019,Imaging Science & Photographic Technology
9810,AlexNet,2016,Computer Science
9811,AlexNet,2021,Computer Science
9812,AlexNet,2021,Engineering
9813,AlexNet,2021,Imaging Science & Photographic Technology
9814,AlexNet,2021,Telecommunications
9815,AlexNet,2017,Computer Science
9816,AlexNet,2017,Computer Science
9817,AlexNet,2022,Others
9818,AlexNet,2021,Engineering
9819,AlexNet,2020,Computer Science
9820,AlexNet,2020,Computer Science
9821,AlexNet,2019,Engineering
9822,AlexNet,2018,Optics
9823,AlexNet,2018,Computer Science
9824,AlexNet,2015,Computer Science
9825,AlexNet,2020,Physics
9826,AlexNet,2022,Computer Science
9827,AlexNet,2022,Imaging Science & Photographic Technology
9828,AlexNet,2021,Computer Science
9829,AlexNet,2019,Computer Science
9830,AlexNet,2019,Computer Science
9831,AlexNet,2019,Computer Science
9832,AlexNet,2021,Computer Science
9833,AlexNet,2021,Engineering
9834,AlexNet,2021,Remote Sensing
9835,AlexNet,2021,Imaging Science & Photographic Technology
9836,AlexNet,2021,Telecommunications
9837,AlexNet,2020,Imaging Science & Photographic Technology
9838,AlexNet,2016,Computer Science
9839,AlexNet,2016,Imaging Science & Photographic Technology
9840,AlexNet,2022,"Radiology, Nuclear Medicine & Medical Imaging"
9841,AlexNet,2019,Computer Science
9842,AlexNet,2021,Remote Sensing
9843,AlexNet,2021,Imaging Science & Photographic Technology
9844,AlexNet,2020,Computer Science
9845,AlexNet,2020,Computer Science
9846,AlexNet,2020,Education & Educational Research
9847,AlexNet,2019,Engineering
9848,AlexNet,2022,Others
9849,AlexNet,2022,Computer Science
9850,AlexNet,2021,Computer Science
9851,AlexNet,2021,Education & Educational Research
9852,AlexNet,2020,Engineering
9853,AlexNet,2020,Optics
9854,AlexNet,2020,Computer Science
9855,AlexNet,2019,Computer Science
9856,AlexNet,2019,Acoustics
9857,AlexNet,2019,Engineering
9858,AlexNet,2018,Chemistry
9859,AlexNet,2018,Engineering
9860,AlexNet,2018,Instruments & Instrumentation
9861,AlexNet,2018,Mathematical & Computational Biology
9862,AlexNet,2018,Engineering
9863,AlexNet,2018,Geology
9864,AlexNet,2018,Remote Sensing
9865,AlexNet,2021,Computer Science
9866,AlexNet,2021,Engineering
9867,AlexNet,2019,Computer Science
9868,AlexNet,2019,Engineering
9869,AlexNet,2019,Telecommunications
9870,AlexNet,2019,Computer Science
9871,AlexNet,2019,Optics
9872,AlexNet,2018,Computer Science
9873,AlexNet,2018,Imaging Science & Photographic Technology
9874,AlexNet,2021,Computer Science
9875,AlexNet,2020,Instruments & Instrumentation
9876,AlexNet,2020,Telecommunications
9877,AlexNet,2019,Engineering
9878,AlexNet,2019,Telecommunications
9879,AlexNet,2022,Engineering
9880,AlexNet,2022,Others
9881,AlexNet,2020,Engineering
9882,AlexNet,2022,Automation & Control Systems
9883,AlexNet,2022,Computer Science
9884,AlexNet,2022,Engineering
9885,AlexNet,2021,Computer Science
9886,AlexNet,2021,Computer Science
9887,AlexNet,2020,Automation & Control Systems
9888,AlexNet,2020,Computer Science
9889,AlexNet,2020,Engineering
9890,AlexNet,2020,Environmental Sciences & Ecology
9891,AlexNet,2020,Geology
9892,AlexNet,2020,Remote Sensing
9893,AlexNet,2020,Imaging Science & Photographic Technology
9894,AlexNet,2020,Computer Science
9895,AlexNet,2020,Engineering
9896,AlexNet,2020,Telecommunications
9897,AlexNet,2020,Computer Science
9898,AlexNet,2022,Computer Science
9899,AlexNet,2022,Engineering
9900,AlexNet,2022,Telecommunications
9901,AlexNet,2021,Computer Science
9902,AlexNet,2021,Imaging Science & Photographic Technology
9903,AlexNet,2021,Computer Science
9904,AlexNet,2018,Computer Science
9905,AlexNet,2018,Engineering
9906,AlexNet,2018,Imaging Science & Photographic Technology
9907,AlexNet,2017,Engineering
9908,AlexNet,2017,Imaging Science & Photographic Technology
9909,AlexNet,2020,Others
9910,AlexNet,2018,Computer Science
9911,AlexNet,2018,Engineering
9912,AlexNet,2017,Computer Science
9913,AlexNet,2017,Engineering
9914,AlexNet,2021,Computer Science
9915,AlexNet,2021,Engineering
9916,AlexNet,2019,Computer Science
9917,AlexNet,2019,Engineering
9918,AlexNet,2019,Engineering
9919,AlexNet,2019,Physics
9920,AlexNet,2018,Computer Science
9921,AlexNet,2021,Computer Science
9922,AlexNet,2021,Construction & Building Technology
9923,AlexNet,2021,Engineering
9924,AlexNet,2021,Transportation
9925,AlexNet,2020,Computer Science
9926,AlexNet,2020,Others
9927,AlexNet,2020,Engineering
9928,AlexNet,2020,Computer Science
9929,AlexNet,2020,Imaging Science & Photographic Technology
9930,AlexNet,2019,Computer Science
9931,AlexNet,2019,Telecommunications
9932,AlexNet,2018,Computer Science
9933,AlexNet,2017,Computer Science
9934,AlexNet,2017,Engineering
9935,AlexNet,2017,Computer Science
9936,AlexNet,2015,Computer Science
9937,AlexNet,2021,Mathematical & Computational Biology
9938,AlexNet,2018,Computer Science
9939,AlexNet,2020,Computer Science
9940,AlexNet,2020,Engineering
9941,AlexNet,2020,Engineering
9942,AlexNet,2019,Acoustics
9943,AlexNet,2019,Engineering
9944,AlexNet,2018,Computer Science
9945,AlexNet,2018,Engineering
9946,AlexNet,2022,Others
9947,AlexNet,2022,Construction & Building Technology
9948,AlexNet,2022,Engineering
9949,AlexNet,2022,Computer Science
9950,AlexNet,2022,Engineering
9951,AlexNet,2021,Computer Science
9952,AlexNet,2021,Engineering
9953,AlexNet,2021,Operations Research & Management Science
9954,AlexNet,2020,Computer Science
9955,AlexNet,2020,Imaging Science & Photographic Technology
9956,AlexNet,2018,Computer Science
9957,AlexNet,2018,Imaging Science & Photographic Technology
9958,AlexNet,2017,Computer Science
9959,AlexNet,2017,Computer Science
9960,AlexNet,2016,Computer Science
9961,AlexNet,2016,Engineering
9962,AlexNet,2016,Imaging Science & Photographic Technology
9963,AlexNet,2022,Chemistry
9964,AlexNet,2022,Engineering
9965,AlexNet,2022,Materials Science
9966,AlexNet,2022,Physics
9967,AlexNet,2021,Computer Science
9968,AlexNet,2021,Engineering
9969,AlexNet,2020,Computer Science
9970,AlexNet,2021,Telecommunications
9971,AlexNet,2020,Computer Science
9972,AlexNet,2020,Robotics
9973,AlexNet,2019,Computer Science
9974,AlexNet,2018,Engineering
9975,AlexNet,2017,Imaging Science & Photographic Technology
9976,AlexNet,2022,Computer Science
9977,AlexNet,2020,Acoustics
9978,AlexNet,2020,Engineering
9979,AlexNet,2021,Computer Science
9980,AlexNet,2018,Computer Science
9981,AlexNet,2018,Engineering
9982,AlexNet,2018,Operations Research & Management Science
9983,AlexNet,2022,Computer Science
9984,AlexNet,2021,Engineering
9985,AlexNet,2020,Computer Science
9986,AlexNet,2020,Engineering
9987,AlexNet,2020,Telecommunications
9988,AlexNet,2022,Computer Science
9989,AlexNet,2022,Computer Science
9990,AlexNet,2022,Telecommunications
9991,AlexNet,2021,Computer Science
9992,AlexNet,2021,Computer Science
9993,AlexNet,2020,Computer Science
9994,AlexNet,2020,Automation & Control Systems
9995,AlexNet,2020,Engineering
9996,AlexNet,2020,Robotics
9997,AlexNet,2018,Engineering
9998,AlexNet,2018,Engineering
9999,AlexNet,2018,Computer Science
10000,AlexNet,2018,Neurosciences & Neurology
10001,AlexNet,2018,Computer Science
10002,AlexNet,2018,Engineering
10003,AlexNet,2016,Computer Science
10004,AlexNet,2022,Computer Science
10005,AlexNet,2021,Computer Science
10006,AlexNet,2021,Engineering
10007,AlexNet,2021,Computer Science
10008,AlexNet,2021,Telecommunications
10009,AlexNet,2019,Computer Science
10010,AlexNet,2019,Imaging Science & Photographic Technology
10011,AlexNet,2013,Computer Science
10012,AlexNet,2021,Construction & Building Technology
10013,AlexNet,2021,Engineering
10014,AlexNet,2019,Imaging Science & Photographic Technology
10015,AlexNet,2018,Computer Science
10016,AlexNet,2018,Telecommunications
10017,AlexNet,2021,Computer Science
10018,AlexNet,2019,Engineering
10019,AlexNet,2019,Computer Science
10020,AlexNet,2019,Engineering
10021,AlexNet,2022,Mathematical & Computational Biology
10022,AlexNet,2022,Neurosciences & Neurology
10023,AlexNet,2021,Computer Science
10024,AlexNet,2021,Engineering
10025,AlexNet,2021,Computer Science
10026,AlexNet,2021,Mathematics
10027,AlexNet,2020,Imaging Science & Photographic Technology
10028,AlexNet,2020,Computer Science
10029,AlexNet,2020,Engineering
10030,AlexNet,2020,Telecommunications
10031,AlexNet,2019,Computer Science
10032,AlexNet,2019,Engineering
10033,AlexNet,2019,Engineering
10034,AlexNet,2021,Computer Science
10035,AlexNet,2021,Engineering
10036,AlexNet,2022,Engineering
10037,AlexNet,2022,Imaging Science & Photographic Technology
10038,AlexNet,2021,Computer Science
10039,AlexNet,2021,Telecommunications
10040,AlexNet,2018,Computer Science
10041,AlexNet,2018,Engineering
10042,AlexNet,2018,Telecommunications
10043,AlexNet,2022,Computer Science
10044,AlexNet,2020,Computer Science
10045,AlexNet,2020,Engineering
10046,AlexNet,2020,Computer Science
10047,AlexNet,2018,Automation & Control Systems
10048,AlexNet,2018,Computer Science
10049,AlexNet,2018,Engineering
10050,AlexNet,2016,Computer Science
10051,AlexNet,2022,"Radiology, Nuclear Medicine & Medical Imaging"
10052,AlexNet,2021,Computer Science
10053,AlexNet,2021,Engineering
10054,AlexNet,2021,Engineering
10055,AlexNet,2019,Engineering
10056,AlexNet,2019,Engineering
10057,AlexNet,2019,Computer Science
10058,AlexNet,2019,Engineering
10059,AlexNet,2018,Computer Science
10060,AlexNet,2019,Computer Science
10061,AlexNet,2019,Telecommunications
10062,AlexNet,2019,Computer Science
10063,AlexNet,2019,Engineering
10064,AlexNet,2019,Telecommunications
10065,AlexNet,2017,Construction & Building Technology
10066,AlexNet,2017,Engineering
10067,AlexNet,2017,Materials Science
10068,AlexNet,2021,Engineering
10069,AlexNet,2021,Optics
10070,AlexNet,2021,Physics
10071,AlexNet,2021,Computer Science
10072,AlexNet,2021,Engineering
10073,AlexNet,2021,Imaging Science & Photographic Technology
10074,AlexNet,2021,Telecommunications
10075,AlexNet,2018,Engineering
10076,AlexNet,2018,Others
10077,AlexNet,2018,Computer Science
10078,AlexNet,2022,Chemistry
10079,AlexNet,2022,Engineering
10080,AlexNet,2022,Materials Science
10081,AlexNet,2022,Physics
10082,AlexNet,2022,Computer Science
10083,AlexNet,2022,Engineering
10084,AlexNet,2022,Telecommunications
10085,AlexNet,2021,Computer Science
10086,AlexNet,2020,Computer Science
10087,AlexNet,2020,Telecommunications
10088,AlexNet,2019,Geology
10089,AlexNet,2019,Remote Sensing
10090,AlexNet,2018,Computer Science
10091,AlexNet,2018,Engineering
10092,AlexNet,2018,Telecommunications
10093,AlexNet,2018,Computer Science
10094,AlexNet,2021,Chemistry
10095,AlexNet,2021,Engineering
10096,AlexNet,2021,Materials Science
10097,AlexNet,2021,Physics
10098,AlexNet,2021,Computer Science
10099,AlexNet,2020,Computer Science
10100,AlexNet,2019,Chemistry
10101,AlexNet,2019,Engineering
10102,AlexNet,2019,Instruments & Instrumentation
10103,AlexNet,2018,Computer Science
10104,AlexNet,2018,Imaging Science & Photographic Technology
10105,AlexNet,2016,Computer Science
10106,AlexNet,2010,Others
10107,AlexNet,2010,Others
10108,AlexNet,2021,Others
10109,AlexNet,2022,"Radiology, Nuclear Medicine & Medical Imaging"
10110,AlexNet,2020,Construction & Building Technology
10111,AlexNet,2020,Engineering
10112,AlexNet,2019,Automation & Control Systems
10113,AlexNet,2019,Engineering
10114,AlexNet,2018,Engineering
10115,AlexNet,2022,Engineering
10116,AlexNet,2022,Telecommunications
10117,AlexNet,2022,Computer Science
10118,AlexNet,2022,Engineering
10119,AlexNet,2022,Physics
10120,AlexNet,2022,Computer Science
10121,AlexNet,2022,Computer Science
10122,AlexNet,2022,Optics
10123,AlexNet,2022,"Radiology, Nuclear Medicine & Medical Imaging"
10124,AlexNet,2021,Mathematics
10125,AlexNet,2021,Computer Science
10126,AlexNet,2021,Computer Science
10127,AlexNet,2021,Engineering
10128,AlexNet,2021,Imaging Science & Photographic Technology
10129,AlexNet,2020,Computer Science
10130,AlexNet,2020,Computer Science
10131,AlexNet,2020,Engineering
10132,AlexNet,2020,"Radiology, Nuclear Medicine & Medical Imaging"
10133,AlexNet,2019,Computer Science
10134,AlexNet,2019,Telecommunications
10135,AlexNet,2019,Engineering
10136,AlexNet,2018,Optics
10137,AlexNet,2017,Computer Science
10138,AlexNet,2017,Imaging Science & Photographic Technology
10139,AlexNet,2021,Computer Science
10140,AlexNet,2021,Materials Science
10141,AlexNet,2019,Engineering
10142,AlexNet,2019,Computer Science
10143,AlexNet,2019,Engineering
10144,AlexNet,2019,Mathematics
10145,AlexNet,2019,Geology
10146,AlexNet,2019,Remote Sensing
10147,AlexNet,2018,Computer Science
10148,AlexNet,2018,Computer Science
10149,AlexNet,2018,Imaging Science & Photographic Technology
10150,AlexNet,2015,Engineering
10151,AlexNet,2015,Imaging Science & Photographic Technology
10152,AlexNet,2022,Engineering
10153,AlexNet,2022,Instruments & Instrumentation
10154,AlexNet,2022,Physics
10155,AlexNet,2022,Automation & Control Systems
10156,AlexNet,2022,Engineering
10157,AlexNet,2021,Materials Science
10158,AlexNet,2020,Computer Science
10159,AlexNet,2020,Engineering
10160,AlexNet,2020,Imaging Science & Photographic Technology
10161,AlexNet,2020,Computer Science
10162,AlexNet,2019,Environmental Sciences & Ecology
10163,AlexNet,2019,Geology
10164,AlexNet,2019,Others
10165,AlexNet,2019,Others
10166,AlexNet,2021,Computer Science
10167,AlexNet,2021,Telecommunications
10168,AlexNet,2021,Computer Science
10169,AlexNet,2021,Engineering
10170,AlexNet,2020,Computer Science
10171,AlexNet,2020,Acoustics
10172,AlexNet,2020,Engineering
10173,AlexNet,2019,Computer Science
10174,AlexNet,2019,Engineering
10175,AlexNet,2019,Telecommunications
10176,AlexNet,2019,Computer Science
10177,AlexNet,2019,Engineering
10178,AlexNet,2018,Computer Science
10179,AlexNet,2018,Computer Science
10180,AlexNet,2018,Imaging Science & Photographic Technology
10181,AlexNet,2018,Computer Science
10182,AlexNet,2018,Engineering
10183,AlexNet,2018,Medical Informatics
10184,AlexNet,2018,Computer Science
10185,AlexNet,2022,Computer Science
10186,AlexNet,2022,Engineering
10187,AlexNet,2021,Chemistry
10188,AlexNet,2021,Physics
10189,AlexNet,2019,Computer Science
10190,AlexNet,2018,Computer Science
10191,AlexNet,2018,Imaging Science & Photographic Technology
10192,AlexNet,2021,Computer Science
10193,AlexNet,2021,Transportation
10194,AlexNet,2020,Physics
10195,AlexNet,2019,Computer Science
10196,AlexNet,2019,Neurosciences & Neurology
10197,AlexNet,2019,Engineering
10198,AlexNet,2019,Engineering
10199,AlexNet,2019,Telecommunications
10200,AlexNet,2019,Computer Science
10201,AlexNet,2019,Engineering
10202,AlexNet,2019,Imaging Science & Photographic Technology
10203,AlexNet,2019,Computer Science
10204,AlexNet,2019,Engineering
10205,AlexNet,2019,Computer Science
10206,AlexNet,2019,Engineering
10207,AlexNet,2019,Telecommunications
10208,AlexNet,2017,Computer Science
10209,AlexNet,2022,Chemistry
10210,AlexNet,2022,Engineering
10211,AlexNet,2022,Materials Science
10212,AlexNet,2022,Physics
